951705	6666666.686770	Streptomyces violaceusniger Tu 4113 NC_015957.1
288306	6666666.147163	Streptomyces venezuelae ATCC 10712 NC_018750.1
951710	6666666.686774	Streptomyces scabiei 87.22 NC_013929.1
500881	6666666.278437	Streptomyces halstedii JOAZ01
500895	6666666.278451	Streptomyces griseoruber LMWW01
500949	6666666.278505	Streptomyces sp. NRRL S-118 JOBL01
500957	6666666.278513	Streptomyces roseoverticillatus JOFL01
500984	6666666.278540	Streptomyces pyridomyceticus JNZN01
501006	6666666.278562	Streptomyces neyagawaensis LIQW01
501015	6666666.278571	Streptomyces sp. NRRL F-5702 JOHD01
501240	6666666.278791	Streptomyces cyaneofuscatus JOEM01
501241	6666666.278792	Streptomyces sp. NRRL WC-3703 JOCH01
501261	6666666.278812	Streptomyces sp. MBT28 LARV01
501310	6666666.278859	Streptomyces malaysiense LBDA02
501322	6666666.278871	Streptomyces sp. Tu 6176 JFJQ01
501329	6666666.278878	Streptomyces albidoflavus JOII01
501344	6666666.278893	Streptomyces olindensis JJOH01
501381	6666666.278930	Streptomyces toyocaensis JFCB01
501435	6666666.278981	Streptomyces natalensis ATCC 27448 JRKI01
501836	6666666.279307	Streptomyces sp. NRRL B-1347 JOJM01
501960	6666666.279431	Streptomyces katrae JNZY01
501965	6666666.279436	Streptomyces griseus subsp. griseus JOJE01
501968	6666666.279439	Streptomyces sp. NRRL S-146 JOAW01
501980	6666666.279450	Streptomyces virginiae JNYC01
501986	6666666.279456	Streptomyces globisporus subsp. globisporus JODW01
501991	6666666.279461	Streptomyces sp. NRRL S-325 JOIW01
501994	6666666.279464	Streptomyces rubellomurinus JZKH01
502012	6666666.279482	Streptomyces sp. NTK 937 JJOB01
502045	6666666.279515	Streptomyces sp. NRRL F-4474 JOIB01
502122	6666666.279588	Streptomyces vitaminophilus LLZU01
502124	6666666.279589	Streptomyces curacoi LMWJ01
502174	6666666.279631	Streptomyces sp. CT34 JSFP01
502221	6666666.279676	Streptomyces leeuwenhoekii LFEH01
502226	6666666.279681	Streptomyces flaveolus JNWV01
502261	6666666.279715	Streptomyces sp. NRRL F-525 JNXE01
502268	6666666.279722	Streptomyces resistomycificus LMWZ01
502298	6666666.279751	Streptomyces atratus JQJU01
512582	6666666.285642	Streptomyces laurentii AP017424.1
512626	6666666.285686	Streptomyces cattleya str. NRRL 8057 FQ859185.1
512810	6666666.285775	Streptomyces roseochromogenes subsp. oscitans AWQX01
939248	6666666.679888	Streptomyces albulus LWBU01
951652	6666666.686730	Streptomyces fradiae CP032266.1
951668	6666666.686746	Streptomyces chartreusis NRRL 3882 LT963352.1
951683	6666666.686761	Streptomyces venezuelae ATCC 10712 CP029197.1
951716	6666666.686780	Streptomyces avermitilis MA-4680 = NBRC 14893 NC_003155.5
951725	6666666.686784	Streptomyces sp. FR-008 AWXN01
951726	6666666.686785	Streptomyces calvus VCNP01
951728	6666666.686786	Streptomyces tubercidicus BLIR01
951729	6666666.686787	Streptomyces caniferus BLIN01
951734	6666666.686790	Streptomyces argenteolus VIWQ01
951775	68570.24	Streptomyces albulus NK660 CP050692.1
951684	6666666.686762	Streptomyces actuosus CP029788.1
951702	132473.10	Streptomyces alboniger ATCC 12461 CP023695.1
939250	6666666.679890	Streptomyces albus LMZE01
951680	6666666.686758	Streptomyces albus CP010519.1
951698	278992.24	Streptomyces ambofaciens ATCC 23877 CP012382.1
951699	1890.30	Streptomyces antibioticus DSM 41481 LGUX01
951697	1892.21	Streptomyces anulatus ATCC 11523 CM003601.1
951679	6666666.686757	Streptomyces atratus CP027306.1
